Headline,Body ID,Stance
Predator drones being flown over Isil's Syrian 'capital',933,unrelated
Somalia Shebab chief Ahmed Abdi Godane likely dead in US strike: Source,646,unrelated
"Apple Watch Pricing to Reportedly Start at $500 for Stainless Steel, $4,000 for Gold",1651,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,472,unrelated
Jihadi John: Mohammed Emwazi named as masked man behind ISIS beheadings,1800,discuss
Homeland Security: No ISIL fighters on U.S. border,1483,unrelated
High school student scores $72M playing the stock market,945,unrelated
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1866,discuss
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,1547,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1406,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1541,unrelated
Video Purports to Show Beheading of American Journalist,1720,unrelated
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,2155,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,1325,unrelated
British Man Slaps People If They Sneeze In Public,1660,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",533,unrelated
Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,2208,discuss
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1839,unrelated
Russian TV actor wakes up to find his testicles stolen,1258,unrelated
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,225,unrelated
"Islamic State Training Pilots in Military Jets, Monitors Say",687,unrelated
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),1047,unrelated
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",706,unrelated
Another American hostage at risk by Islamic state,1166,unrelated
Pentagon: 1 weapons bundle seized by militants,2252,unrelated
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,1400,unrelated
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2092,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",2489,unrelated
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2404,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1295,unrelated
"Nun gives birth, intends to keep baby",1480,unrelated
CNN Plays Alleged Recording of Michael Brown Shooting,2520,unrelated
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',1815,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1645,discuss
US Lawmaker: Ten ISIS Fighters Have Been Apprehended Coming Across Southern Border (Video),186,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,385,unrelated
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,125,unrelated
Media outlets identify 'Jihadi John',961,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1403,unrelated
"Hoax Alert: Father O’Neal, Who Has Met God and Thinks She’s a Woman, Is Made Up (Just Like God Herself)",2114,unrelated
"Zack Snyder Kills ""Stolen Batmobile"" Rumor With Great Photo",1789,unrelated
Homeland Security: No ISIL fighters on U.S. border,1538,unrelated
Robert Plant ripped up $800M Led Zeppelin reunion contract,1939,unrelated
Surreal Photos of Fisherman’s Jaw-Dropping Catch Will Likely Have People Wondering If It’s Real,2161,discuss
Texas Town Quarantined After Family Of Five Test Positive For The Ebola Virus,1277,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),852,discuss
"Fidel Castro Is Dead, According to Viral Twitter Rumors",35,unrelated
"HBO streaming service could launch in April for $15 per month, work on Apple TV",1074,discuss
Video messaging service verifies timing of CNN audio recording,2020,agree
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",1898,unrelated
KIM JONG-UN NECKS SNAKE WINE FOR VIRILITY,587,unrelated
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,1013,unrelated
"Analyst: Apple Watch Edition Could Cost $5,000",1700,discuss
Audio recording allegedly captures moment Michael Brown was shot,195,unrelated
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,1789,unrelated
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",2118,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,125,unrelated
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',1009,unrelated
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,2175,unrelated
"McDonald’s to Stop Serving Overweight Customers in January? Nope, ‘1/15/2015′ Story is Fake",2184,disagree
An Indian Civil Servant Just Got Sacked After Not Turning Up For Work For 25 Years,1939,unrelated
ISIL allegedly kills US journalist in video,2261,unrelated
Nicaragua says meteorite probable cause of blast in capital,1939,unrelated
Isis claims it has US airdrop of weapons,2252,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1630,agree
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,346,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,321,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1968,unrelated
"David Haines Beheaded By ISIS, Execution Video Contains Threats Against UK: Reports",68,unrelated
Robert Plant ripped up $800M Led Zeppelin reunion contract,483,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,398,unrelated
Cloistered nun has a stomach ache  hospital gives birth to a baby [Google Translate],2269,unrelated
Islamic State claims to have beheaded American journalist,511,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,181,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2388,discuss
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1572,unrelated
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,161,unrelated
It’s Okay To Laugh About The Fact That The Vogue Rat Infestation is Getting Worse,964,unrelated
ISIS Seemingly Beheaded American Journalist James Wright Foley,2070,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female,858,unrelated
Has J.J. Abrams Asked for THE FORCE AWAKENS Release Date to be Moved Up?,1393,discuss
A Bogus Banksy,2024,agree
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",2197,unrelated
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",204,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,1253,unrelated
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,1136,discuss
Giant 8ft 9in catfish weighing 19 stone caught in Italy is thought to be the biggest ever reeled in with a rod and line,2161,agree
Video messaging service verifies timing of CNN audio recording,1564,disagree
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",1139,discuss
Unverified video shows beheading of aid worker David Haines,1178,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,2240,unrelated
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,2123,discuss
Missing American journalist reportedly beheaded by Islamic State ,608,discuss
Meteor Leaves 40-Foot Crater Near Managua's Airport,966,agree
Chugging eggnog sends Utah man to hospital,2407,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,125,unrelated
ISIL video claims beheading of kidnapped journalist James Foley,1009,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,903,discuss
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',40,unrelated
"Unconfirmed: ISIS Claims Kayla Mueller, American Female Hostage, Is Dead",2283,unrelated
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,1989,discuss
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,1541,unrelated
Boko Haram denies truce to release kidnapped schoolgirls,2192,unrelated
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),320,discuss
Islamic State reports youngest jihadist 'martyred' in battle,2213,unrelated
Dog abandoned at railway station with suitcase set for happy ending as offers pour in,304,unrelated
Is the iPhone 6 Really Pulling Out Your Hair?,689,unrelated
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",2329,unrelated
"ISIS: We have our hands on weapons, ammo air-dropped by U.S.",2016,unrelated
"Insiders Claim Steel Apple Watch to Start at $500, Gold at $4,000",1839,unrelated
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,643,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,1423,unrelated
Is Kim Jong-un Opening North Korean Restaurant in Scotland?,2290,unrelated
"Boko Haram denies truce, says kidnapped girls married",1541,unrelated
"Apple Reportedly Preparing 12-inch MacBook Air, Thinner and Lighter than Existing Models",2509,unrelated
Questions raised over Nicaragua 'meteorite',1900,unrelated
Seth Rogen to Play Apple Co-Founder Wozniak in Steve Jobs Biopic,1588,unrelated
US officials: Video shows American's execution,1295,unrelated
Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,2161,unrelated
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",2076,agree
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",1877,unrelated
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2078,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,308,discuss
KC hospital: Patient does not have symptom profile of Ebola,304,unrelated
Mexico finds 4 more graves at site of suspected student massacre,1613,discuss
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2463,unrelated
"Jose Canseco injured in accidental shooting, per reports",186,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,298,unrelated
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1751,discuss
"Woman catches husband cheating with her twin, humiliates them",1828,unrelated
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,1900,discuss
Islamic State fighters detonate 'SCORPION bombs' in terror siege,1474,agree
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,1940,unrelated
WATCH: Twitter catches fire amid rumors of Fidel Castro’s death,2506,discuss
Jordan’s King Abdullah Did Not Personally Fly Airstrikes On ISIS,1365,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,757,unrelated
We took a look at the photo said to show the body of Islamic State leader Abu Bakr Al-Baghdadi (right) and found it was really an ethnic Albanian militant killed in 2013,723,discuss
Nun 'has surprise baby' after complaining of stomach pains,220,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1358,unrelated
Unlucky in love man CHOPS OFF own penis because he was fed up with not having a girlfriend,460,agree
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,1637,unrelated
Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,1760,unrelated
Predator Drone Reportedly Spotted Over ISIS Hotbed in Syria; Airstrikes Hit ISIS Targets,2186,unrelated
Homeland Security says terrorists haven't crossed U.S-Mexico border,1764,agree
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2156,unrelated
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,472,unrelated
ISIS Reportedly Beheads American Photojournalist in Iraq,139,unrelated
Rumors of ISIS leader's death debunked,1222,unrelated
"Meet Magneto Boy, the kid who attracts metal with his body",1916,unrelated
Street Artist BANKSY Arrested? Again?,1940,discuss
God is a woman- Priest who died for 48 minutes claims,1849,agree
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,1642,unrelated
Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,17,unrelated
Two blokes dared to eat 20-year-old burger for charity,628,discuss
Pumpkin Spice condoms? Don't fall for this hoax.,1170,unrelated
Man who SLAPS people if they sneeze in public being hunted by police,2175,unrelated
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1437,unrelated
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1288,discuss
NYC relaxes response to marijuana possession,2237,discuss
"Spider burrowed into appendix scar, crawled through WA man's body",1638,agree
Sugarhill Gang Rapper Big Bank Hank Dies at 57,1979,unrelated
"Kayla Jean Mueller, U.S. hostage, killed in Jordan airstrike, ISIS claims",1260,unrelated
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,694,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2020,unrelated
Texas City plumber's truck ends up in Syrian war,339,unrelated
Report: Christian Bale Will Play Steve Jobs,1217,discuss
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,938,discuss
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,2502,agree
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,395,discuss
Report: Possible audio tape of Michael Brown shooting,321,unrelated
This Dog Was Left At A Railway Station With A Suitcase Of His Belongings After He Was Sold On Gumtree,2483,agree
British aid worker David Haines beheaded by ISIL,15,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1673,agree
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,2138,discuss
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,unrelated
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1351,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1524,unrelated
Newly Discovered Mass Grave Linked to Missing Mexican Students,1538,unrelated
Student accidentally sets college on fire during fireworks proposal,842,unrelated
"Is North Korea, world's most secret state, really planning a new restaurant in Scotland?",955,unrelated
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",1036,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",986,unrelated
Speeding Up ‘Seinfeld’ For Younger Viewers,1260,agree
After ISIS trick mum into eating son - 5 other reluctant cannibals including those forced to eat own body parts,220,unrelated
White House fence-jumper made it far deeper into building than previously known,1869,unrelated
Prisoner Released in Bergdahl Exchange Tried to Reconnect With Taliban,592,unrelated
7 Bosnian teens get pregnant on school trip,169,unrelated
"Kayla Jean Mueller, U.S. hostage, killed in Jordan airstrike, ISIS claims",2387,discuss
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',2242,agree
Lynch Mob Castrates Alleged Rapist In Rajasthan,805,agree
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",1331,unrelated
Macaulay Culkin Victim of Another Online Death Hoax,539,agree
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",2296,unrelated
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,958,unrelated
Isis claims to behead US journalist,115,unrelated
Mexico finds 4 more graves at site of suspected student massacre,1213,unrelated
ESPN’s Domestic Abuse Tonight Panel Will Be 100% Dudes,1699,disagree
Islamic State using 'SCORPION bombs' to terrorise victims,1120,unrelated
"Fidel Castro Is Dead, According to Viral Twitter Rumors",125,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,1789,unrelated
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1554,discuss
Is There an ISIS Threat on the Texas-Mexico Border or Not?,564,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,54,unrelated
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,961,unrelated
Accountant Says Comcast Got Him Fired for Contesting Bogus Charges,2405,discuss
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,206,unrelated
6 Islamist militants killed in US attack in Somalia,511,unrelated
Islamic State accused of using chlorine gas on Iraqi soldiers,2002,discuss
Officials shoot down congressman's claims ISIS terrorists are running across US-Mexico border,570,unrelated
"Why the Gold Apple Watch Edition Must Cost $10,000",418,discuss
Robert Plant Literally Ripped Up An $800 Million Contract To Reunite Led Zeppelin,1365,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',959,discuss
News sites fall for Putin bird-dropping video,2463,unrelated
Samsung is reportedly making a secret new chip in the Apple Watch,1368,unrelated
"In Kim Jong Un's absence, his sister may rule. Or not.",271,unrelated
"Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge",1848,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,298,discuss
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',903,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,1395,unrelated
Kim Jong-Un 'Has Difficulty Walking And Needs About 100 Days To Recuperate',236,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,2192,unrelated
ISIS Getting Ebola,2299,unrelated
Militant Group Says It Killed American Journalist in Syria,539,unrelated
Man chops off own penis after being dumped by his girlfriend,714,unrelated
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",214,unrelated
FBI Probing Alleged Audio of Michael Brown Shooting,1832,unrelated
"Led Zeppelin Reunion: Robert Plant Rips Up $300 Million Contract, Refuses To Rejoin Legendary Band",1787,unrelated
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,757,unrelated
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,557,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,2526,unrelated
Woman Says She Gave Her Cheating Man a Printout of His DMs for Christmas,1011,unrelated
Animal lovers abuzz over pope’s comments that 'paradise is open to all of God’s creatures',2297,agree
Robert Plant ripped up $800M Led Zeppelin reunion contract,158,unrelated
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",1481,unrelated
"Apple Watch Gold Edition may cost as much as $5,000",1700,discuss
IS Fighters Seize Weapons Cache Meant for Kurds,2009,unrelated
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1885,discuss
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,2530,discuss
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,803,unrelated
Shocking Photos! Mom Tries To Sell Son To Pay For Daughter's Cancer Treatment,1384,unrelated
Meteor Leaves 40-Foot Crater Near Managua's Airport,971,unrelated
Was Alleged Audio of Michael Brown Shooting on CNN a Hoax?,1289,unrelated
Alleged Audio of Michael Brown Shooting Doesn’t Sound Good for Officer Darren Wilson,1921,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,2118,discuss
"Elon University has not banned the term ‘freshman,’ despite rumors",2360,unrelated
Research Medical Center denies reports that a patient has Ebola,1404,agree
Spider burrowed through tourist's stomach and up into his chest,1888,unrelated
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1101,discuss
Bird defecates on Vladimir Putin during speech (video),1843,unrelated
That Was Fast: Christian Bale Bails on Steve Jobs Biopic,1646,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),1226,discuss
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1330,discuss
"Insiders Claim Steel Apple Watch to Start at $500, Gold at $4,000",648,unrelated
"Apple Watch Pricing to Reportedly Start at $500 for Stainless Steel, $4,000 for Gold",577,discuss
The rats eat Prada at Vogue NY office,387,unrelated
Microsoft Hires Dalek-style Robocops to Guard Silicon Valley HQ,552,agree
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",2367,unrelated
Unbearable! Carolling toy in Shefford 'gagged' by council,1606,unrelated
You're Not Going to Become Weightless on January 4th,1170,unrelated
Apple Watch won’t be the digital doctor it could have been,648,unrelated
PGA Tour Denies Claim That Tiger Woods Failed A Drug Test,1339,agree
"Boko Haram Cease-Fire: Abducted Nigerian Schoolgirls To Be Released, Officials Say",1608,unrelated
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,1461,unrelated
Apple May Or May Not Hold An Event On The 24th Of February [Rumor],130,unrelated
Jordan king cites Clint Eastwood in revenge vow,682,unrelated
The Image That Everyone Is Sharing By 'Banksy' Isn't By Banksy — But It's Awesome,2197,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,1708,unrelated
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2386,agree
Isis militants claim to have killed US journalist James Foley,2047,discuss
Penis Spray-Painted on a $2.5 Million Car Was Just for a Prank Video,498,agree
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,205,unrelated
Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,650,unrelated
Senator: Detainees swapped for Bergdahl have contacted militants,1506,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,1817,discuss
